# idxMtg,idxQ,tauMaxPre,sA,sV,deltaP,lambdaP,sTau
0.00,3.00,13.25,1.22,1.51,0.00,0.00,1.81
1.00,4.00,14.41,1.00,1.00,0.00,0.00,1.17
2.00,5.00,12.88,1.00,1.00,0.00,1.00,1.17
3.00,6.00,19.47,1.22,1.30,0.00,1.00,1.81
4.00,7.00,11.66,1.08,1.00,0.00,0.00,1.30
5.00,8.00,11.17,1.00,1.05,0.00,1.00,1.31
6.00,3.00,16.80,1.04,1.10,0.00,0.00,1.19
7.00,4.00,9.00,1.00,1.00,0.00,0.00,1.00
8.00,5.00,5.22,1.08,1.07,0.00,0.00,1.15
9.00,6.00,24.76,1.01,1.14,0.00,0.00,1.11
10.00,7.00,8.10,1.00,1.00,0.00,0.00,1.00
11.00,8.00,5.08,1.00,1.00,0.00,0.00,1.00
